1,i bought two pair in different sizes and one pair was great but the other pair had deteriorated edges that left water in lines from the first use and one lock didn't secure the blade to the arm well. i had to buy a replacement immediately,0
2,lasts only 2 weeks! try them if you don't believe me,0
3,what a bad product!  they didn't last two weeks before they began to smear my windshield,0
4,"i bought 3 sets of these blades for my cars. they lasted 2 weeks (at the most) on average in the summer. bosch or anco blades usually work for 2 years. it's up to you to decide which blades to buy!follow-up: i see some people find my review not helpful, you know what: i tried to warn you. obviously you either have too much money or you're stockholders of rainx. my advice for you: buy garbage, support economy",0
5,bought 3 pairs for all my cars. what a waste of money: didn't last a week before they started to smear windshield! garbage,0
6,"waste of money, lasted only 2 weeks this summer. garbage. pay a little more for bosch or same for anco",0
7,"to replace the battery your have to open the back, that means you have remove it from where its stuck, open the back and re-stick it again thus loosing the strength of the original glu",0
8,"i had a pretty dirty car and i used the mr. clean starter kit. i followed all the directions.i also washed my car in the shade, and i rinsed and soaped the car in portions as one reviewer mentioned. i waited about 30mins or more for the car to dry and the only parts that were really clean and shiny were the windows. it still left a lot of dirt on my car, despite all the scrubbing i did during the soaping step. it even took more water than what i would have used washing it the old fashion way. i looked that the faq sheet that came with the kit and it said that if you see streaks it may be dirt, and all you have to do is go through the steps again to get rid of it. it's just a hassle. at least i can wash my house windows with it until the filter get's used up. otherwise it's a waste of money",0
9,"i bought this great piece of crap about a year ago.  when i first used it, i followed the directions as indicated on the box.  worked fair the first time, i mean i could have just used my dads power washer but no, i am a pioneer and want to try new things.  so then i used it about 6 months later to detail a neighbors car and it left scum everywhere!  this wasn't your ordinary scum, this stuff was hard to get off the car.  i spent a solid day scrubing the car to get this scum off the car.  so i swore i wouldn't use it after all that happend.  so today i decided to wash my car because i'm moving to arizona in a day.  i used the power washer with a new bottle of mr. clean soap. i mean hey...what would go wrong....more of that scum, so here i am now spending my day rubbing the scum off at least the windows instead of packing up the car...anyway you all know my feelings on this product.  mr. clean makes quality products but screwed up somewhere with this one",0
10,"i bought this product on a whim.  i was looking for carwash detergent at safeway, and the mr. clean autodry was on sale.  curious, i gave it a try.first of all, this unit wastes a lot of water.  after washing and rinsing, you have to apply filtered water all over the car from a distance of one feet.  it feels like spray painting.then you wait for the water to evaporate.  problem is, i live in san franisco, ca -- nothing dries in this climate without help.  if i hadn't hand dried my car, i'd still be waiting for the water to evaporate.another odd thing -- hand drying actually seemed more difficult after using the mr. clean soap and unit.  it's as though it left a residue.  i'm not sure what it is.but i'll probably end up washing my car again tomorrow, the old-fashioned way ..",0
11,"i seriously hope that the price tag i am seeing is ($7,000+) is a mistake..",0
12,impossible to rate product as amazon shipped brake cleaner instead of polish. return of inexpensive items not worth the time it takes.  consider not using amazon for small purchases until return system is upgraded,0
13,ok it's so obviously obstructing the view of your license plate. i thought it would only blur it from the high distant angles of the cameras but it blurs it from almost every angle besides directly behind it (and even then the edges are blurry).  check the laws in your local state. i'm pretty sure this thing is very illegal!!! i had to trash mine. thanks for taking my money,0
14,i installed this cover and took pictures from various distance and angel. i could read all numbers clearly.  they claim that it will work with actual traffic camera. i have no way to test that,0
15,"this is bad, very bad.  it slips so easy that you cannot get a firm grip on the filter.  i would suggest anyone to look elsewhere and get something else that actually works.  i really regret getting this",0
